Datetime,Electric Power (kW),Thermal Power (kW),Irradiance (W/m2),Cost (Eur/kW),Access Tariff (Eur/kWh),PHP Tariff (Eur/kWh)
2022-01-01 01:00:00+00:00,201.924,2.1,0.0,0.1149,0.0078,0.0
2022-01-01 02:00:00+00:00,200.435,2.0,0.0,0.11387,0.0078,0.0
2022-01-01 03:00:00+00:00,198.125,2.2,0.0,0.0978,0.0069,0.0
2022-01-01 04:00:00+00:00,198.029,2.1,0.0,0.0978,0.0069,0.0
2022-01-01 05:00:00+00:00,202.154,2.2,0.0,0.09573999999999999,0.0069,0.0
2022-01-01 06:00:00+00:00,204.67,2.2,0.0,0.0978,0.0069,0.0
2022-01-01 07:00:00+00:00,213.638,2.0,0.0,0.0978,0.0078,0.0
2022-01-01 08:00:00+00:00,193.141,2.1,0.0,0.0978,0.0078,0.0
2022-01-01 09:00:00+00:00,195.51,2.2,109.58171081542969,0.07005,0.0099,0.0
2022-01-01 10:00:00+00:00,224.51,2.1,424.6546630859375,0.07679000000000001,0.0108,0.0018816666666666665
2022-01-01 11:00:00+00:00,236.04,2.1,379.8204040527344,0.0841,0.0108,0.0018816666666666665
2022-01-01 12:00:00+00:00,246.025,2.1,450.48748779296875,0.09473999999999999,0.0099,0.0
2022-01-01 13:00:00+00:00,251.627,2.1,698.314208984375,0.0968,0.0099,0.0
2022-01-01 14:00:00+00:00,250.354,2.1,736.6477661132812,0.0978,0.0099,0.0
2022-01-01 15:00:00+00:00,252.962,2.1,248.7794952392578,0.09852,0.0099,0.0
2022-01-01 16:00:00+00:00,247.651,2.2,36.127567291259766,0.1145,0.0099,0.0
2022-01-01 17:00:00+00:00,265.975,2.1,161.68556213378906,0.14997,0.0099,0.0
2022-01-01 18:00:00+00:00,241.594,2.0,0.0,0.17722,0.0099,0.0
2022-01-01 19:00:00+00:00,248.217,2.2,0.0,0.18752000000000002,0.0108,0.0018816666666666665
2022-01-01 20:00:00+00:00,244.072,2.1,0.0,0.18925999999999998,0.0108,0.0018816666666666665
2022-01-01 21:00:00+00:00,228.617,2.2,0.0,0.19081,0.0108,0.0018816666666666665
2022-01-01 22:00:00+00:00,226.293,2.1,0.0,0.18838999999999997,0.0099,0.0
2022-01-01 23:00:00+00:00,222.008,2.1,0.0,0.16726,0.0078,0.0
